,Income,Dt_Customer,Recency,WinesProducts,FruitsProducts,MeatProducts,FishProducts,SweetProducts,GoldProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Education_Graduation,Education_Postgraduate,Education_Undergraduate,Marital_Status_Married,Marital_Status_Single
25,53359.0,16,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,1,1,0,0,1,0
26,38360.0,16,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,1,0,0,1,0
27,84618.0,10,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,0,1,0,1,0
28,10979.0,4,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,1
29,38620.0,17,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0
30,40548.0,24,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,1,0,0,1,0
31,46610.0,23,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1,0,1,0,0,1
32,68657.0,19,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,0,1,0,1,0
33,49389.0,13,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,1
34,67353.0,9,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,0,1,0,1,0
35,23718.0,13,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,0,1,0,1,0
36,42429.0,7,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,1,0,0,0,1
37,48948.0,20,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,0,1,0,0,1
38,80011.0,17,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,1,0,0,1,0
39,20559.0,19,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,0,1,0,1,0
40,21994.0,21,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,1,0,0,1,0
41,7500.0,12,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
42,79941.0,3,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1
43,7500.0,23,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,0,1,0,1,0
44,41728.0,16,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,1,0,0,1,0
45,72550.0,23,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1,0,1,0,1,0
46,65486.0,4,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,1,0,0,0,1
47,79143.0,26,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,0,1,0,1,0
48,35790.0,21,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
49,82582.0,3,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,1,0,0,0,1
50,66373.0,15,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,1,1,0,0,1,0
51,82384.0,22,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0
52,70287.0,18,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,1,0,0,0,1
53,27938.0,5,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,1,0,0,0,1
54,55954.0,7,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,0,1,0,1,0
55,75777.0,15,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,0,1,0,0,1
56,66653.0,25,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,1,1,0,0,1,0
57,61823.0,19,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,1,0,0,0,1
58,67680.0,16,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,0,1,0,0,1
59,70666.0,10,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,1,0,0,1,0
60,25721.0,16,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,1,0,0,1,0
61,32474.0,4,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1,1,0,0,1,0
62,88194.0,6,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,0,1,0,0,1
63,69096.0,12,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,1,0,0,1,0
64,74854.0,18,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1,1,0,0,1,0
65,66991.0,25,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,0,1,0,1,0
66,65031.0,18,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,1,0,0,1,0
67,60631.0,18,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,1,0,1,0,1,0
68,28332.0,5,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0
69,40246.0,21,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,1,0,0,0,1
70,75251.0,25,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,0,1,0,1,0
71,75825.0,24,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,1,0,0,0,1
72,26326.0,13,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,0,1,0,1,0
73,56046.0,21,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,1,0,0,1,0
74,29760.0,25,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,1,0,0,0,1
75,26304.0,15,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,1,0,0,1,0
76,23559.0,15,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
77,81361.0,7,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,1,0,0,0,1
78,29440.0,13,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,1,1,0,0,1,0
79,36138.0,14,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,1,0,1,0,1,0
80,50388.0,4,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,1,0,0,0,1
81,79593.0,4,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,1,0,0,1,0
82,54178.0,8,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,1,0,0,1,0
83,42394.0,6,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,1
84,23626.0,4,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
85,30096.0,4,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
86,47916.0,22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,1,0,0,0,1
87,51813.0,18,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
88,78497.0,10,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,0,1,0,1,0
89,50150.0,15,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,0,1,0,1,0
90,47823.0,14,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,0,1,0,0,1
91,34554.0,6,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,0,1,0,0,1
92,85693.0,17,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,1,0,0,1,0
93,65846.0,16,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,0,1,0,1,0
94,87195.0,4,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,1,0,0,1,0
95,24594.0,9,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,0,0,1,1,0
96,49096.0,12,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,1,1,0,0,1,0
97,52413.0,20,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,1,1,0,0,1,0
98,38557.0,21,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
99,89058.0,22,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0
100,77298.0,11,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,1,0,0,1,0
101,68126.0,23,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,0,1,0,0,1
102,57288.0,3,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,0,1,0,1,0
103,86037.0,21,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,1,0,0,0,1
104,43974.0,22,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,0,1,0,1,0
105,50785.0,12,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,1,1,0,0,0,1
106,90765.0,8,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,1,0,0,1,0
107,36550.0,19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,0,1,0,1,0
108,30753.0,15,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
109,21918.0,10,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
110,56129.0,15,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,0,1,0,1,0
111,32557.0,7,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1,0,1,0,0,1
112,19510.0,13,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
113,30992.0,17,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
114,101970.0,19,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,1,0,0,0,1
115,71488.0,19,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0
116,79607.0,17,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,1,0,0,0,1
117,54348.0,3,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,1,0,1,0,1,0
118,77376.0,4,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,1,0,1,0,1,0
119,62998.0,12,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,1,1,0,0,1,0
120,61331.0,19,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,1,0,1,0,0,1
121,73448.0,7,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,1,0,0,1,0
122,41551.0,13,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,1,0,1,0,1,0
123,62981.0,18,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,0,1,0,1,0
124,9548.0,26,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,0,0,1,0,1
125,33762.0,15,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,1,0,1,0,1,0
126,35860.0,4,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,1,0,1,0,0,1
127,36921.0,14,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,1
128,92859.0,23,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,0,1,0,0,1
129,65104.0,10,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1,0,1,0,1,0
130,86111.0,17,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0,1,0,0,1,0
131,68352.0,13,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,1,0,1,0,0,1
132,41883.0,18,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
133,59809.0,23,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,1,1,0,0,1,0
134,23957.0,23,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,1,1,0,0,1,0
135,38547.0,13,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,1,1,0,0,1,0
136,35688.0,25,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,1,0,1,0,1,0
137,49605.0,3,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0
138,59354.0,5,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,1,0,1,0,1,0
139,65747.0,7,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,1,1,0,0,1,0
140,46344.0,22,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1,0,1,0,1,0
141,34176.0,4,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,1,0,0,0,1
142,61010.0,24,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1,0,1,0,1,0
143,69372.0,19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0,1,0,0,1,0
144,49967.0,15,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,1,1,0,0,0,1
145,60199.0,12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,1,1,0,0,0,1
146,55375.0,11,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,1,1,0,0,1,0
147,80317.0,13,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1
148,30523.0,15,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,1,0,1,0,0,1
149,70356.0,23,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,0,1,0,1,0
150,23228.0,9,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
151,74165.0,17,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,0,1,0,0,1
152,157243.0,7,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
153,43482.0,10,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,1,1,0,0,1,0
154,62551.0,10,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,0,1,0,0,0,1
155,52332.0,13,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,0,1,0,0,0,1
156,66951.0,11,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1
157,26091.0,7,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,1,1,0,0,1,0
158,33456.0,5,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,1,1,0,0,1,0
159,28718.0,14,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
160,50447.0,5,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
161,53537.0,8,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,1,0,1,0,1,0
162,52074.0,6,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,1,1,0,0,0,1
163,80427.0,25,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1,0,1,0,1,0
164,83837.0,21,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,0,0,1,0,1,0
165,38853.0,4,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
166,38285.0,3,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,1,0
167,51650.0,4,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,1,0,1,0,1,0
168,16248.0,4,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1,0,1,0,1,0
169,66835.0,12,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,0,0,1,0,1,0
170,30477.0,8,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,1,0,1,0,1,0
171,28249.0,3,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,0,0,0,1,1,0
172,25271.0,22,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,1,1,0,0,1,0
173,32303.0,7,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,1,0,1,0,0,1
174,61286.0,14,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,1,1,0,0,1,0
175,74068.0,18,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0
176,45759.0,19,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
177,24882.0,25,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,1,0,0,1,1,0
178,66973.0,16,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,0,0,1,0,1,0
179,36640.0,12,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,0,1,0,1,0,0,1
180,38872.0,16,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,1,1,0,0,1,0
181,51148.0,19,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,1,1,0,0,1,0
182,31353.0,9,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,1,1,0,0,1,0
183,69661.0,4,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,0,0,1,0,1,0
184,80067.0,12,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,0,1,0,0,1,0
185,86718.0,20,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,0,1,0,0,1,0
186,46854.0,6,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,1,0,1,0,0,1
187,69142.0,3,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,1,1,0,0,0,1
188,75922.0,9,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1
189,63693.0,11,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1,1,0,0,0,1
190,102160.0,23,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,0,0,1,0,1,0
191,40637.0,14,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,1,0,1,0,0,1
192,18890.0,23,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,0,0,1,0,0,1
193,29604.0,10,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,1,1,0,0,1,0
194,48721.0,16,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,1,0,1,0,0,1
195,44794.0,3,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,1,1,0,0,1,0
196,64497.0,25,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,1,1,0,0,0,1
197,46097.0,18,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,1,1,0,0,1,0
198,77972.0,6,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0
199,44377.0,24,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,1,0,1,0,1,0
200,46014.0,20,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,1,0,1,0,1,0
201,70951.0,17,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,0,1,0,0,1,0
202,41443.0,6,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,1,1,0,0,1,0
203,52195.0,4,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1,0,1,0,0,1
204,83790.0,10,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,0,0,1,0,1,0
205,44551.0,13,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,1,0,1,0,0,1
206,69508.0,23,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,1,1,0,0,1,0
207,45204.0,5,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,1,0,1,0,1,0
208,72460.0,10,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,0,1,0,0,1,0
209,77622.0,5,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,1,0,1,0,1,0
210,30732.0,21,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,1,0,1,0,1,0
211,63887.0,25,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,1,1,0,0,0,1
212,42011.0,18,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
213,51369.0,23,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,1,1,0,0,1,0
214,51537.0,22,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,1,1,0,0,0,1
215,79930.0,26,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,0,0,1,0,1,0
216,34320.0,7,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,1,0,1,0,1,0
217,37070.0,18,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,1,1,0,0,0,1
218,81975.0,21,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,1,0,1,0,0,1
219,38590.0,16,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,1,1,0,0,1,0
220,15033.0,5,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1
221,62745.0,18,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,1,0,1,0,1,0
222,22212.0,9,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,1,0,1,0,1,0
223,23661.0,10,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,1,0,1,0,1,0
224,79761.0,12,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,1,0,1,0,0,1
225,7500.0,9,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,1,1,0,0,0,1
226,60182.0,4,23,8,0,5,7,0,2,1,1,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,1
227,73455.0,11,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,0,1,0,0,0,1
228,64961.0,21,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,1,1,0,0,1,0
